correctTag,targetWord,orderingId,sessionId,draggedTag,serie
Preposição,Por,31,3DzMfiKm3b,Substantivo,6-ensino-fundamental
Advérbio,rápido,2,N1-7NDxxJF,Advérbio,6-ensino-fundamental
Advérbio,não,10,YkpVe-pHql,Advérbio,6-ensino-fundamental
Verbo,esquecido,18,nAF45HKVn3,Preposição+Artigo,6-ensino-fundamental
Preposição,Por,32,3DzMfiKm3b,Preposição,6-ensino-fundamental
Nome Próprio,Maria,11,YkpVe-pHql,Nome Próprio,6-ensino-fundamental
Preposição,com,3,N1-7NDxxJF,Artigo,6-ensino-fundamental
Artigo,seu,20,BCabI356eF,Pronome,6-ensino-fundamental
Preposição+Artigo,do,12,YkpVe-pHql,Preposição+Artigo,6-ensino-fundamental
Preposição,com,4,N1-7NDxxJF,Substantivo,6-ensino-fundamental
Verbo Auxiliar,tinham,19,nAF45HKVn3,Conjunção Subordinativa,6-ensino-fundamental
Preposição,com,5,N1-7NDxxJF,Pontuação,6-ensino-fundamental
Substantivo,favor,33,3DzMfiKm3b,Substantivo,6-ensino-fundamental
Preposição,com,6,N1-7NDxxJF,Adjetivo,6-ensino-fundamental
Preposição+Artigo,Na,0,gzoA3IZOzc,Preposição,6-ensino-fundamental
Advérbio,não,34,3DzMfiKm3b,Advérbio,6-ensino-fundamental
Preposição,com,7,N1-7NDxxJF,Substantivo,6-ensino-fundamental
Advérbio,enfim,20,nAF45HKVn3,Verbo Auxiliar,6-ensino-fundamental
Preposição,com,8,N1-7NDxxJF,Preposição,6-ensino-fundamental
Verbo,convencer,21,BCabI356eF,Pronome,6-ensino-fundamental
Verbo,perceberam,21,nAF45HKVn3,Verbo,6-ensino-fundamental
Substantivo,luz,9,N1-7NDxxJF,Substantivo,6-ensino-fundamental
Artigo,os,22,BCabI356eF,Preposição,6-ensino-fundamental
Adjetivo,natural,10,N1-7NDxxJF,Adjetivo,6-ensino-fundamental
Substantivo,vista,23,BCabI356eF,Preposição,6-ensino-fundamental
Pontuação,.,1,gzoA3IZOzc,Pontuação,6-ensino-fundamental
Substantivo,planta,11,N1-7NDxxJF,Pontuação,6-ensino-fundamental
Artigo,seu,24,BCabI356eF,Artigo,6-ensino-fundamental
Pontuação,",",0,QZnBYoK4La,Pronome,6-ensino-fundamental
Preposição+Artigo,do,25,BCabI356eF,Advérbio,6-ensino-fundamental
Advérbio,enfim,22,nAF45HKVn3,Substantivo,6-ensino-fundamental
Interjeição,Ah,0,EIMbd2n8Al,Verbo,6-ensino-fundamental
Substantivo,planta,12,N1-7NDxxJF,Artigo,6-ensino-fundamental
Pontuação,",",2,gzoA3IZOzc,Pontuação,6-ensino-fundamental
Preposição+Artigo,do,26,BCabI356eF,Verbo,6-ensino-fundamental
Substantivo,planta,13,N1-7NDxxJF,Substantivo,6-ensino-fundamental
Preposição+Artigo,do,27,BCabI356eF,Substantivo,6-ensino-fundamental
Artigo,A,14,N1-7NDxxJF,Artigo,6-ensino-fundamental
Pontuação,",",1,QZnBYoK4La,Pontuação,6-ensino-fundamental
Pontuação,",",1,EIMbd2n8Al,Pontuação,6-ensino-fundamental
Preposição+Artigo,do,28,BCabI356eF,Preposição+Artigo,6-ensino-fundamental
Verbo Auxiliar,tinham,23,nAF45HKVn3,Advérbio,6-ensino-fundamental
Pontuação,",",3,gzoA3IZOzc,Pontuação,6-ensino-fundamental
Pontuação,.,15,N1-7NDxxJF,Pontuação,6-ensino-fundamental
Verbo Auxiliar,tinham,24,nAF45HKVn3,Artigo,6-ensino-fundamental
Pronome,demais,29,BCabI356eF,Verbo,6-ensino-fundamental
Pontuação,!,2,EIMbd2n8Al,Pontuação,6-ensino-fundamental
