correctTag,targetWord,eventType,orderingId,sessionId,draggedTag
Verbo,preparamos,interaction,36,4zU1hox2-7,Pronome
Verbo de Ligação,Seja,interaction,14,1RxmjPo-Nw,Verbo
Substantivo,provas,interaction,7,uq-mw8tBDG,Substantivo
Verbo,preparamos,interaction,37,4zU1hox2-7,Conjunção Subordinativa
Pontuação,.,interaction,8,uq-mw8tBDG,Pontuação
Adjetivo,cansada,interaction,15,k4ynYAr1nq,Adjetivo
Verbo,preparamos,interaction,38,4zU1hox2-7,Verbo
Verbo de Ligação,Seja,interaction,15,1RxmjPo-Nw,Artigo
Verbo de Ligação,Seja,interaction,16,1RxmjPo-Nw,Substantivo
Verbo de Ligação,estivesse,interaction,16,k4ynYAr1nq,Verbo de Ligação
Pontuação,.,interaction,39,4zU1hox2-7,Pontuação
Verbo de Ligação,Seja,interaction,17,1RxmjPo-Nw,Verbo de Ligação
Substantivo,brinquedo,interaction,6,q4JF64szJa,Preposição
Verbo,desenhou,interaction,1,zVOBppAFOJ,Substantivo
Conjunção Subordinativa,Embora,interaction,17,k4ynYAr1nq,Conjunção Subordinativa
Pronome,todos,interaction,18,1RxmjPo-Nw,Pronome
Substantivo,mão,interaction,7,q4JF64szJa,Preposição+Artigo
Pronome,outros,interaction,19,1RxmjPo-Nw,Pronome
Substantivo,mão,interaction,8,q4JF64szJa,Preposição
Substantivo,mão,interaction,9,q4JF64szJa,Substantivo
Verbo,desenhou,interaction,2,zVOBppAFOJ,Artigo
Verbo,merecem,interaction,20,1RxmjPo-Nw,Preposição
Artigo,O,interaction,0,sPYvsPtczU,Pontuação
Preposição,com,interaction,10,q4JF64szJa,Substantivo
Verbo,desenhou,interaction,3,zVOBppAFOJ,Verbo
Pontuação,.,interaction,1,sPYvsPtczU,Pontuação
Artigo,o,interaction,4,zVOBppAFOJ,Substantivo
Preposição,com,interaction,11,q4JF64szJa,Preposição+Artigo
Substantivo,mesa,interaction,2,sPYvsPtczU,Artigo
Verbo,merecem,interaction,21,1RxmjPo-Nw,Substantivo
Artigo,o,interaction,5,zVOBppAFOJ,Preposição
Preposição,com,interaction,12,q4JF64szJa,Preposição
Verbo,merecem,interaction,22,1RxmjPo-Nw,Verbo
Substantivo,mesa,interaction,3,sPYvsPtczU,Substantivo
Artigo,os,interaction,23,1RxmjPo-Nw,Artigo
Artigo,o,interaction,6,zVOBppAFOJ,Artigo
Substantivo,livro,interaction,4,sPYvsPtczU,Substantivo
Substantivo,retrato,interaction,7,zVOBppAFOJ,Substantivo
Preposição,com,interaction,24,1RxmjPo-Nw,Preposição
Verbo de Ligação,está,interaction,5,sPYvsPtczU,Artigo
Substantivo,brinquedo,interaction,13,q4JF64szJa,Substantivo
Preposição,com,interaction,8,zVOBppAFOJ,Substantivo
Substantivo,respeito,interaction,25,1RxmjPo-Nw,Substantivo
Preposição+Artigo,na,interaction,14,q4JF64szJa,Preposição+Artigo
Preposição,com,interaction,9,zVOBppAFOJ,Preposição
Substantivo,carvão,interaction,10,zVOBppAFOJ,Substantivo
Verbo de Ligação,está,interaction,6,sPYvsPtczU,Artigo
Verbo de Ligação,está,interaction,7,sPYvsPtczU,Verbo de Ligação
Substantivo,artista,interaction,11,zVOBppAFOJ,Artigo
Preposição,sobre,interaction,8,sPYvsPtczU,Preposição
Substantivo,artista,interaction,12,zVOBppAFOJ,Substantivo
Artigo,a,interaction,9,sPYvsPtczU,Artigo
Pontuação,?,interaction,0,U9jV201-QL,Pontuação
Artigo,O,interaction,13,zVOBppAFOJ,Artigo
Artigo,O,interaction,10,sPYvsPtczU,Artigo
Pontuação,.,interaction,0,9ioARcwqyJ,Pontuação
Artigo,o,interaction,1,9ioARcwqyJ,Artigo
Verbo,Será,interaction,0,lNessrrYAR,Verbo
Artigo,O,interaction,2,9ioARcwqyJ,Artigo
Substantivo,menino,interaction,3,9ioARcwqyJ,Substantivo
Pontuação,.,interaction,0,TQPOzY82oI,Pontuação
Verbo,perdeu,interaction,4,9ioARcwqyJ,Substantivo
Artigo,O,interaction,0,itjRxu6Wvi,Artigo
Verbo,perdeu,interaction,5,9ioARcwqyJ,Verbo
Substantivo,ônibus,interaction,6,9ioARcwqyJ,Substantivo
Conjunção Subordinativa,que,interaction,1,lNessrrYAR,Artigo
Substantivo,respeito,interaction,0,4A3YWaqMVV,Artigo
Substantivo,livro,interaction,1,itjRxu6Wvi,Verbo de Ligação
Conjunção Subordinativa,que,interaction,2,lNessrrYAR,Verbo
Pontuação,.,interaction,0,OYye219hZY,Pontuação
Pronome,todos,interaction,1,4A3YWaqMVV,Conjunção Subordinativa
Pontuação,?,interaction,3,lNessrrYAR,Pontuação
Pronome,todos,interaction,2,4A3YWaqMVV,Pronome
Pontuação,.,interaction,2,itjRxu6Wvi,Pontuação
Conjunção Coordenativa,ou,interaction,4,lNessrrYAR,Advérbio
Nome Próprio,Chico,interaction,1,OYye219hZY,Nome Próprio
Verbo,merecem,interaction,3,4A3YWaqMVV,Pontuação
Substantivo,mesa,interaction,3,itjRxu6Wvi,Preposição
Pontuação,.,interaction,0,0wEM6zmnYl,Pontuação
Pontuação,!,interaction,0,fkNpAl4GXs,Pontuação
Substantivo,mesa,interaction,4,itjRxu6Wvi,Substantivo
Verbo,merecem,interaction,4,4A3YWaqMVV,Conjunção Subordinativa
Artigo,a,interaction,5,itjRxu6Wvi,Artigo
Preposição,sobre,interaction,6,itjRxu6Wvi,Verbo de Ligação
Advérbio,amanhã,interaction,5,lNessrrYAR,Substantivo
Verbo,merecem,interaction,5,4A3YWaqMVV,Pronome
Preposição,sobre,interaction,7,itjRxu6Wvi,Substantivo
Pontuação,.,interaction,0,hEZbvbdS-N,Pontuação
Verbo de Ligação,está,interaction,8,itjRxu6Wvi,Substantivo
Substantivo,respeito,interaction,6,4A3YWaqMVV,Preposição
Advérbio,amanhã,interaction,6,lNessrrYAR,Artigo
Substantivo,livro,interaction,9,itjRxu6Wvi,Substantivo
Verbo de Ligação,está,interaction,10,itjRxu6Wvi,Verbo de Ligação
Verbo,merecem,interaction,7,4A3YWaqMVV,Adjetivo
Verbo,foi,interaction,2,OYye219hZY,Verbo
Preposição,sobre,interaction,11,itjRxu6Wvi,Preposição
Advérbio,amanhã,interaction,7,lNessrrYAR,Verbo
Verbo,merecem,interaction,8,4A3YWaqMVV,Artigo
Verbo,merecem,interaction,9,4A3YWaqMVV,Pontuação
Verbo,chover,interaction,8,lNessrrYAR,Verbo
Advérbio,aqui,interaction,1,fkNpAl4GXs,Interjeição
Verbo,merecem,interaction,10,4A3YWaqMVV,Preposição
Conjunção Coordenativa,ou,interaction,9,lNessrrYAR,Verbo
Verbo,merecem,interaction,11,4A3YWaqMVV,Conjunção Subordinativa
Artigo,o,interaction,10,lNessrrYAR,Verbo
Verbo,merecem,interaction,12,4A3YWaqMVV,Substantivo
Substantivo,sol,interaction,11,lNessrrYAR,Substantivo
Preposição+Artigo,ao,interaction,3,OYye219hZY,Substantivo
Pontuação,.,interaction,0,AoiKnNCA7i,Pontuação
Verbo Auxiliar,vai,interaction,12,lNessrrYAR,Artigo
Pontuação,",",interaction,1,AoiKnNCA7i,Pontuação
Verbo,merecem,interaction,13,4A3YWaqMVV,Verbo
Conjunção Subordinativa,que,interaction,13,lNessrrYAR,Verbo Auxiliar
Pronome,eles,interaction,2,AoiKnNCA7i,Verbo
Preposição+Artigo,ao,interaction,4,OYye219hZY,Preposição+Artigo
Verbo Auxiliar,vai,interaction,14,lNessrrYAR,Verbo
Pronome,eles,interaction,3,AoiKnNCA7i,Advérbio
Substantivo,respeito,interaction,14,4A3YWaqMVV,Pontuação
Artigo,o,interaction,1,0wEM6zmnYl,Pronome
Pronome,eles,interaction,4,AoiKnNCA7i,Substantivo
Advérbio,amanhã,interaction,15,lNessrrYAR,Verbo Auxiliar
Substantivo,respeito,interaction,15,4A3YWaqMVV,Conjunção Subordinativa
Pontuação,.,interaction,0,EVwIczi1kM,Pontuação
Substantivo,banco,interaction,5,OYye219hZY,Substantivo
